Date,^GSPC,return
2022-09-01,3585.6201171875,
2022-10-01,3871.97998046875,0.07683456446885563
2022-11-01,4080.110107421875,0.05235797609764905
2022-12-01,3839.5,-0.060781825376668173
2023-01-01,4076.60009765625,0.05992118183434968
2023-02-01,3970.14990234375,-0.02645947885979313
2023-03-01,4109.31005859375,0.03445129269826359
2023-04-01,4169.47998046875,0.0145361776495622
2023-05-01,4179.830078125,0.0024792714332724764
2023-06-01,4450.3798828125,0.06271886491464175
2023-07-01,4588.9599609375,0.03066395090770391
2023-08-01,4507.66015625,-0.017875203842993896
2023-09-01,4288.0498046875,-0.04994616792328207
2023-10-01,4193.7998046875,-0.022224841001403373
2023-11-01,4567.7998046875,0.0854244482007529
2023-12-01,4769.830078125,0.04327903543160833
2024-01-01,4845.64990234375,0.015770693886425723
2024-02-01,5096.27001953125,0.050427528312771974
2024-03-01,5254.35009765625,0.03054742011174303
2024-04-01,5035.68994140625,-0.04250577768147858
2024-05-01,5277.509765625,0.04690380530435967
2024-06-01,5460.47998046875,0.03408234323888226
2024-07-01,5522.2998046875,0.011257710402409889
2024-08-01,5648.39990234375,0.022577897117514727
2024-09-01,5762.47998046875,0.019995632287754545
2024-10-01,5705.4501953125,-0.009946041598550177
2024-11-01,6032.3798828125,0.05571971402949727
2024-12-01,5881.6298828125,-0.02530769218774562
2025-01-01,6040.52978515625,0.02665780641966916
2025-02-01,5954.5,-0.014344484648483261
2025-03-01,5611.85009765625,-0.059266785380176656
2025-04-01,5569.06005859375,-0.007654161847847313
2025-05-01,5911.68994140625,0.05970544763775343
2025-06-01,6204.9501953125,0.048415655447618985
2025-07-01,6339.39013671875,0.021435178792465086
2025-08-01,6460.259765625,0.018886957507385716
2025-09-01,6481.5,0.0032824366748478396
